trial,preset,gate,ok,expected,got,input_time_s,eval_time_s,compact_decrypt_time_s,total_time_s,max_row_support,total_output_nnz
0,toy_noisy,and,True,0,0,0.017099995000080526,0.02202908400022352,0.6335399739996319,0.672669052999936,24,5564
1,toy_noisy,and,True,1,1,0.013671622999936517,0.020560946999921725,0.6028053099998942,0.6370378799997525,25,5560
2,toy_noisy,and,True,1,1,0.014392204999694513,0.02106808500002444,0.5042349519999334,0.5396952419996524,25,5641
3,toy_noisy,and,True,0,0,0.013925916999596666,0.02088602699996045,0.6070064670002466,0.6418184109998037,25,5587
4,toy_noisy,and,True,0,0,0.014266849999785336,0.02191441400009353,0.5348845899998196,0.5710658539996984,25,5697
5,toy_noisy,and,True,0,0,0.0154958540001644,0.021297072999914235,0.6403634480002438,0.6771563750003224,24,5632
6,toy_noisy,and,True,0,0,0.014551019999998971,0.021051200000329118,0.49025444399967455,0.5258566640000026,25,5555
7,toy_noisy,and,True,0,0,0.013710460000311286,0.021225037000021985,0.6440999479996208,0.679035444999954,24,5661
8,toy_noisy,and,True,0,0,0.01421698700005436,0.020735954999963724,0.49226075399974434,0.5272136959997624,24,5636
9,toy_noisy,and,True,0,0,0.014004673999806982,0.021194652000303904,0.5293180159997064,0.5645173419998173,25,5670
