operation,sable_c4,tfhe_fhew,bfv_bgv,ckks,note
encrypted addition,native; matrix add,native via integer/Boolean APIs,native,native approximate,Cheap for all major HE families.
encrypted subtraction,native; add scaled by -1,native for integer APIs; Boolean via gates,native,native approximate,Same cost class as addition.
negation,native scalar -1,native for integer APIs,native,native approximate,Unary linear operation.
plaintext/scalar add,native beta I,native/API dependent,native,native approximate,SABLE uses beta times identity in expanded GSW form.
plaintext/scalar multiply,native matrix scale,native/API dependent,native,native approximate,Linear public operation.
encrypted multiplication,native but depth-limited,Boolean AND or integer multiplication with bootstrapping/carries,native depth-consuming,native approximate depth-consuming,Main nonlinear operation.
square,native as multiplication,integer API or gate circuit,native,native approximate,Specialized optimizations not yet implemented in prototype.
public power,repeated square/multiply,integer API/gate circuit,repeated multiply,repeated approximate multiply,Consumes multiplicative depth.
division,not native; nonzero inverse x^(q-2) only,integer API supports semantics in TFHE-rs,not native generally,not exact; approximate reciprocal possible,SABLE division is expensive and undefined at zero.
comparison/order,not native,strong target via Boolean/integer circuits,possible but expensive circuit,usually via scheme switching or approximation,SABLE needs polynomial or Boolean encoding.
Boolean AND,xy over bits,native bootstrapped gate,arithmetic encoding,not natural,SABLE is competitive conceptually only for low-depth batches.
Boolean OR,x+y-xy,native bootstrapped gate,arithmetic encoding,not natural,Uses one multiplication over F_q.
Boolean XOR,x+y-2xy over odd q,native bootstrapped gate,arithmetic encoding,not natural,"In F_2 XOR is linear; SABLE uses odd prime q, so this polynomial has one multiplication."
