operation,inputs,sable_depth,sable_ct_adds_or_subs,sable_public_scalar_muls,sable_public_constants,sable_ct_muls,sable_final_row_support_est,sable_failure_bound_est,sable_c7_mode,sable_c7_public_entries,sable_c7_public_clpn_rows,sable_c7_dense_fallback_terms_bound,sable_c7_relation_status,tfhe_fhew_bootstrap_gate_proxy,bfv_bgv_ciphertext_adds,bfv_bgv_ciphertext_muls,ckks_applicable,best_external_baseline_family,notes
add,2,0,1,0,0,0,16,0.004813949162605161,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,,1,0,approximate-only,BFV/BGV,encrypted x+y over F_q
sub,2,0,1,0,0,0,16,0.004813949162605161,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,,1,0,approximate-only,BFV/BGV,encrypted x-y over F_q
neg,1,0,0,1,0,0,16,0.004813949162605161,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,,0,0,approximate-only,BFV/BGV,public scalar -1 times encrypted x
scalar_mul,1,0,0,1,0,0,16,0.004813949162605161,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,,0,0,approximate-only,BFV/BGV,public scalar times encrypted x
add_const,1,0,1,0,1,0,16,0.005656499731869194,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,,1,0,approximate-only,BFV/BGV,x+c using public exact cI_N
mul,2,1,0,0,0,1,16,0.004813949162605161,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,,0,1,approximate-only,BFV/BGV,encrypted multiplication x*y
square,1,1,0,0,0,1,16,0.004813949162605161,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,,0,1,approximate-only,BFV/BGV,encrypted square x^2
affine,2,0,2,2,1,0,16,0.0066300860233784115,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,,2,0,approximate-only,BFV/BGV,3x+2y+5
dot4,4,0,4,4,1,0,16,0.009041433899094063,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,,4,0,approximate-only,BFV/BGV,public-coefficient dot product
poly2,1,2,2,1,2,2,256,1.0,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,,2,2,approximate-only,BFV/BGV,3+2x+5x^2 via Horner
product4,4,2,0,0,0,3,256,0.04723417980729373,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,,0,3,approximate-only,BFV/BGV,balanced product x1*x2*x3*x4
quadratic_form,4,1,2,0,1,2,16,0.0066300860233784115,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,,2,2,approximate-only,BFV/BGV,x1*x2+x3*x4+5
and,2,1,0,0,0,1,16,0.004813949162605161,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,1,0,1,not preferred for exact Boolean gates,TFHE/FHEW,Boolean AND as xy
or,2,1,2,0,0,1,16,0.005656499731869194,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,1,2,1,not preferred for exact Boolean gates,TFHE/FHEW,Boolean OR as x+y-xy
xor,2,1,2,1,0,1,16,0.005656499731869194,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,1,2,1,not preferred for exact Boolean gates,TFHE/FHEW,Boolean XOR as x+y-2xy
not,1,0,1,0,1,0,16,0.005656499731869194,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,0,1,0,not preferred for exact Boolean gates,TFHE/FHEW,Boolean NOT as 1-x
nand,2,1,1,0,1,1,16,0.005656499731869194,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,1,1,1,not preferred for exact Boolean gates,TFHE/FHEW,Boolean NAND as 1-xy
nor,2,1,2,0,1,1,16,0.0066300860233784115,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,1,3,1,not preferred for exact Boolean gates,TFHE/FHEW,Boolean NOR as 1-(x+y-xy)
xnor,2,1,2,1,1,1,16,0.0066300860233784115,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,1,3,1,not preferred for exact Boolean gates,TFHE/FHEW,Boolean XNOR as 1-(x+y-2xy)
implies,2,1,2,0,1,1,16,0.0066300860233784115,coordinate,18,1746,18,coordinate blocks are linearly independent; no within-block kernel relations,1,2,1,not preferred for exact Boolean gates,TFHE/FHEW,Boolean implication as 1-x+xy
